win,name
yes,Spider-Man: Homecoming
no,Get Out
yes,The Post
yes,I Am Not Your Negro
yes,Get Out
yes,Baby Driver
yes,Okja
yes,The Post
yes,Gemini
yes,Phantom Thread
yes,Beatriz at Dinner
no,The Big Sick
yes,Blade Runner 2049
no,BPM (Beats Per Minute)
yes,Lost in Paris
yes,Star Wars: The Last Jedi
yes,Dunkirk
yes,Good Time
yes,Dunkirk
no,Dunkirk
no,Baby Driver
yes,Wonder Woman
yes,Blade Runner 2049
no,Lady Bird
yes,Colossal
yes,The Post
yes,Girls Trip
no,The Florida Project
yes,Blade Runner 2049
yes,Wind River
yes,American Made
yes,Anna and the Apocalypse
yes,The Shape of Water
yes,Darkest Hour
yes,Split
yes,Star Wars: The Last Jedi
yes,Blade Runner 2049
yes,Baby Driver
yes,Thor: Ragnarok
yes,The Shape of Water
yes,Good Time
yes,The Post
yes,Blade Runner 2049
yes,Dunkirk
yes,Logan Lucky
yes,The Babysitter
yes,Mother!
yes,King Arthur: Legend of the Sword
yes,Creep 2
yes,The Death of Stalin
yes,The Hitman's Bodyguard
yes,Happy Death Day
yes,Phantom Thread
