,Year,Ceremony,Award,Winner,title,production
1486,1944,17,Best Motion Picture,0,Double Indemnity ,Paramount
1487,1944,17,Best Motion Picture,0,Gaslight ,Metro-Goldwyn-Mayer
1488,1944,17,Best Motion Picture,1,Going My Way ,Paramount
1489,1944,17,Best Motion Picture,0,Since You Went Away ,Selznick International Pictures
1490,1944,17,Best Motion Picture,0,Wilson ,20th Century-Fox
1644,1945,18,Best Motion Picture,0,Anchors Aweigh ,Metro-Goldwyn-Mayer
1645,1945,18,Best Motion Picture,0,The Bells of St. Mary's ,Rainbow Productions
1646,1945,18,Best Motion Picture,1,The Lost Weekend ,Paramount
1647,1945,18,Best Motion Picture,0,Mildred Pierce ,Warner Brothers
1648,1945,18,Best Motion Picture,0,Spellbound ,Selznick International Pictures
1762,1946,19,Best Motion Picture,1,The Best Years of Our Lives ,Samuel Goldwyn Productions
1763,1946,19,Best Motion Picture,0,Henry V ,J. Arthur Rank-Two Cities Films
1764,1946,19,Best Motion Picture,0,It's a Wonderful Life ,Liberty Films
1765,1946,19,Best Motion Picture,0,The Razor's Edge ,20th Century-Fox
1766,1946,19,Best Motion Picture,0,The Yearling ,Metro-Goldwyn-Mayer
1867,1947,20,Best Motion Picture,0,The Bishop's Wife ,Samuel Goldwyn Productions
1868,1947,20,Best Motion Picture,0,Crossfire ,RKO Radio
1869,1947,20,Best Motion Picture,1,Gentleman's Agreement ,20th Century-Fox
1870,1947,20,Best Motion Picture,0,Great Expectations ,J. Arthur Rank-Cineguild
1871,1947,20,Best Motion Picture,0,Miracle on 34th Street ,20th Century-Fox
1978,1948,21,Best Motion Picture,1,Hamlet ,J. Arthur Rank-Two Cities Films
1979,1948,21,Best Motion Picture,0,Johnny Belinda ,Warner Brothers
1980,1948,21,Best Motion Picture,0,The Red Shoes ,J. Arthur Rank-Archers
1981,1948,21,Best Motion Picture,0,The Snake Pit ,20th Century-Fox
1982,1948,21,Best Motion Picture,0,The Treasure of the Sierra Madre ,Warner Brothers
2087,1949,22,Best Motion Picture,1,All the King's Men ,Robert Rossen Productions
2088,1949,22,Best Motion Picture,0,Battleground ,Metro-Goldwyn-Mayer
2089,1949,22,Best Motion Picture,0,The Heiress ,Paramount
2090,1949,22,Best Motion Picture,0,A Letter to Three Wives ,20th Century-Fox
2091,1949,22,Best Motion Picture,0,Twelve O'Clock High ,20th Century-Fox
2204,1950,23,Best Motion Picture,1,All about Eve ,20th Century-Fox
2205,1950,23,Best Motion Picture,0,Born Yesterday ,Columbia
2206,1950,23,Best Motion Picture,0,Father of the Bride ,Metro-Goldwyn-Mayer
2207,1950,23,Best Motion Picture,0,King Solomon's Mines ,Metro-Goldwyn-Mayer
2208,1950,23,Best Motion Picture,0,Sunset Blvd. ,Paramount
2324,1951,24,Best Motion Picture,1,An American in Paris ,"Arthur Freed, Producer"
2325,1951,24,Best Motion Picture,0,Decision before Dawn ,"Anatole Litvak and Frank McCarthy, Producers"
2326,1951,24,Best Motion Picture,0,A Place in the Sun ,"George Stevens, Producer"
2327,1951,24,Best Motion Picture,0,Quo Vadis ,"Sam Zimbalist, Producer"
2328,1951,24,Best Motion Picture,0,A Streetcar Named Desire ,"Charles K. Feldman, Producer"
2444,1952,25,Best Motion Picture,1,The Greatest Show on Earth ,"Cecil B. DeMille, Producer"
2445,1952,25,Best Motion Picture,0,High Noon ,"Stanley Kramer, Producer"
2446,1952,25,Best Motion Picture,0,Ivanhoe ,"Pandro S. Berman, Producer"
2447,1952,25,Best Motion Picture,0,Moulin Rouge ,Romulus Films
2448,1952,25,Best Motion Picture,0,The Quiet Man ,"John Ford and Merian C. Cooper, Producers"
2574,1953,26,Best Motion Picture,1,From Here to Eternity ,"Buddy Adler, Producer"
2575,1953,26,Best Motion Picture,0,Julius Caesar ,"John Houseman, Producer"
2576,1953,26,Best Motion Picture,0,The Robe ,"Frank Ross, Producer"
2577,1953,26,Best Motion Picture,0,Roman Holiday ,"William Wyler, Producer"
2578,1953,26,Best Motion Picture,0,Shane ,"George Stevens, Producer"
2700,1954,27,Best Motion Picture,0,The Caine Mutiny ,"Stanley Kramer, Producer"
2701,1954,27,Best Motion Picture,0,The Country Girl ,"William Perlberg, Producer"
2702,1954,27,Best Motion Picture,1,On the Waterfront ,"Sam Spiegel, Producer"
2703,1954,27,Best Motion Picture,0,Seven Brides for Seven Brothers ,"Jack Cummings, Producer"
2704,1954,27,Best Motion Picture,0,Three Coins in the Fountain ,"Sol C. Siegel, Producer"
2827,1955,28,Best Motion Picture,0,Love Is a Many-Splendored Thing ,"Buddy Adler, Producer"
2828,1955,28,Best Motion Picture,1,Marty ,"Harold Hecht, Producer"
2829,1955,28,Best Motion Picture,0,Mister Roberts ,"Leland Hayward, Producer"
2830,1955,28,Best Motion Picture,0,Picnic ,"Fred Kohlmar, Producer"
2831,1955,28,Best Motion Picture,0,The Rose Tattoo ,"Hal B. Wallis, Producer"
2957,1956,29,Best Motion Picture,1,Around the World in 80 Days ,"Michael Todd, Producer"
2958,1956,29,Best Motion Picture,0,Friendly Persuasion ,"William Wyler, Producer"
