Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta",N/A,N/A,"USA, Mexico",Alfonso Cuarón,Drama,N/A,Roma,Alfonso Cuarón,2018,7.9
"Olivia Colman, Rachel Weisz, Emma Delves, Faye Daveney",N/A,N/A,"Ireland, UK, USA",Yorgos Lanthimos,"Biography, Drama",R,The Favourite,"Deborah Davis, Tony McNamara",2018,8.1
"KiKi Layne, Stephan James, Regina King, Colman Domingo",N/A,N/A,USA,Barry Jenkins,"Crime, Drama, Romance",N/A,If Beale Street Could Talk,"Barry Jenkins (written for the screen by), James Baldwin (novel)",2018,6.8
"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler",N/A,N/A,USA,Damien Chazelle,"Biography, Drama, History",N/A,First Man,"Josh Singer (screenplay by), James R. Hansen (based on the book by)",2018,7.7
"Hugh Jackman, Vera Farmiga, J.K. Simmons, Mark O'Brien",N/A,N/A,USA,Jason Reitman,"Biography, Drama",N/A,The Front Runner,"Matt Bai, Jay Carson, Jason Reitman, Matt Bai (based on the book ""All The Truth Is Out"" by)",2018,6.6
"Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay",1 nomination.,N/A,USA,Bradley Cooper,"Drama, Music, Romance",R,A Star Is Born,"Eric Roth (screenplay by), Bradley Cooper (screenplay by), Will Fetters (screenplay by), Moss Hart (based on the 1954 screenplay by), John Gregory Dunne (based on the 1976 screenplay by), Joan Didion (based on the 1976 screenplay by), Frank Pierson (based on the 1976 screenplay by), William A. Wellman (based on a story by), Robert Carson (based on a story by)",2018,8.2
"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",14 nominations.,"$501,105,037","USA, South Africa, South Korea, Australia",Ryan Coogler,"Action, Adventure, Sci-Fi",PG-13,Black Panther,"Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel Comics by)",2018,7.4
"Viggo Mortensen, Linda Cardellini, Mahershala Ali, Don Stark",N/A,N/A,USA,Peter Farrelly,"Biography, Comedy, Drama",PG-13,Green Book,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly",2018,8.1
"Alec Baldwin, John David Washington, Isiah Whitlock Jr., Robert John Burke",N/A,N/A,USA,Spike Lee,"Biography, Comedy, Crime, Drama",R,BlacKkKlansman,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee, Ron Stallworth (based on the book by)",2018,7.6
"Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone",N/A,N/A,USA,Marielle Heller,"Biography, Comedy, Crime, Drama",R,Can You Ever Forgive Me?,"Nicole Holofcener (screenplay by), Jeff Whitty (screenplay by)",2018,7.6
