Title,Best Picture,Prod Company,Year,imdbRating,Popularity,Rated_APPROVED,Rated_G,Rated_PG,Rated_PG-13,Rated_R,Rated_UNRATED,Release_Date_01,Release_Date_02,Release_Date_03,Release_Date_04,Release_Date_05,Release_Date_06,Release_Date_07,Release_Date_08,Release_Date_09,Release_Date_10,Release_Date_11,Release_Date_12,Revenue,Budget,Runtime,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Short,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Best Actor,Best Actress,Best Director,Best Supporting Actor,Best Supporting Actress
Double Indemnity,0,Paramount,1944,8.3,11.853,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2500000,927262,107,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Gaslight,0,Metro-Goldwyn-Mayer,1944,7.8,6.867999999999999,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2068000,114,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0
Going My Way,1,Paramount,1944,7.2,3.592,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16300000,0,130,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0
Since You Went Away,0,Selznick International Pictures,1944,7.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Wilson,0,20th Century-Fox,1944,5.8,0.7709999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2000000,2995000,154,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Anchors Aweigh,0,Metro-Goldwyn-Mayer,1945,7.2,4.672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Bells of St. Mary's,0,Rainbow Productions,1945,7.4,2.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21300000,0,126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
The Lost Weekend,1,Paramount,1945,8.0,5.871,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11000000,1250000,101,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0
Mildred Pierce,0,Warner Brothers,1945,8.0,6.6370000000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5638000,1453000,111,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
Spellbound,0,Selznick International Pictures,1945,7.6,8.192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7000000,1500000,111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
