,budget,genres,id,keywords,popularity,release_month,revenue,runtime,title,vote_average,vote_count,won,genre_weight,profit
0,237000000,Action|Adventure|Fantasy|Science Fiction,19995,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,150.437577,12,2787965087,162.0,Avatar,7.2,11800,0,0.154301499605367,2550965087
1,300000000,Adventure|Fantasy|Action,285,ocean|drug abuse|exotic island|east india trading company|love of one's life|traitor|shipwreck|strong woman|ship|alliance|calypso|afterlife|fighter|pirate|swashbuckler|aftercreditsstinger,139.082615,5,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,0,0.08287292817679558,661000000
2,245000000,Action|Adventure|Crime,206647,spy|based on novel|secret agent|sequel|mi6|british secret service|united kingdom,107.37678799999999,10,880674609,148.0,Spectre,6.3,4466,0,0.13259668508287292,635674609
3,250000000,Action|Crime|Drama|Thriller,49026,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|time bomb|gotham city|vigilante|cover-up|superhero|villainess|tragic hero|terrorism|destruction|catwoman|cat burglar|imax|flood|criminal underworld|batman,112.31295,7,1084939099,165.0,The Dark Knight Rises,7.6,9106,0,0.5027624309392266,834939099
4,260000000,Action|Adventure|Science Fiction,49529,based on novel|mars|medallion|space travel|princess|alien|steampunk|martian|escape|edgar rice burroughs|alien race|superhuman strength|mars civilization|sword and planet|19th century|3d,43.926995,3,284139100,132.0,John Carter,6.1,2124,0,0.1432517758484609,24139100
5,258000000,Fantasy|Action|Adventure,559,dual identity|amnesia|sandstorm|love of one's life|forgiveness|spider|wretch|death of a friend|egomania|sand|narcism|hostility|marvel comic|sequel|superhero|revenge,115.69981399999999,5,890871626,139.0,Spider-Man 3,5.9,3576,0,0.08287292817679558,632871626
6,260000000,Animation|Family,38757,hostage|magic|horse|fairy tale|musical|princess|animation|tower|blonde woman|selfishness|healing power|based on fairy tale|duringcreditsstinger|healing gift|animal sidekick,48.681969,11,591794936,100.0,Tangled,7.4,3330,0,0.08800315706393053,331794936
7,280000000,Action|Adventure|Science Fiction,99861,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,134.27922900000002,4,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,0,0.1432517758484609,1125403694
8,250000000,Adventure|Fantasy|Family,767,witch|magic|broom|school of witchcraft|wizardry|apparition|teenage crush|werewolf,98.885637,7,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,0,0.06629834254143646,683959197
9,250000000,Action|Adventure|Fantasy,209112,dc comics|vigilante|superhero|based on comic book|revenge|super powers|clark kent|bruce wayne|dc extended universe,155.790452,3,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,0,0.08287292817679558,623260194
10,270000000,Adventure|Fantasy|Action|Science Fiction,1452,saving the world|dc comics|invulnerability|sequel|superhero|based on comic book|kryptonite|super powers|superhuman strength|lex luthor,57.925623,6,391081192,154.0,Superman Returns,5.4,1400,0,0.154301499605367,121081192
11,200000000,Adventure|Action|Thriller|Crime,10764,killing|undercover|secret agent|british secret service,107.92881100000001,10,586090727,106.0,Quantum of Solace,6.1,2965,0,0.18232044198895025,386090727
12,200000000,Adventure|Fantasy|Action,58,witch|fortune teller|bondage|exotic island|monster|captain|card game|east india trading company|compass|ship|daughter|pirate|swashbuckler|aftercreditsstinger,145.84737900000002,6,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,0,0.08287292817679558,865659812
13,255000000,Action|Adventure|Western,57201,texas|horse|survivor|texas ranger|partner|outlaw|escape|lawyer|train|lone ranger|comanche|the lone ranger|tonto,49.046956,7,89289910,149.0,The Lone Ranger,5.9,2311,0,0.08287292817679558,-165710090
14,225000000,Action|Adventure|Fantasy|Science Fiction,49521,saving the world|dc comics|superhero|based on comic book|superhuman|alien invasion|reboot|super powers|dc extended universe,99.398009,6,662845518,143.0,Man of Steel,6.5,6359,0,0.154301499605367,437845518
15,225000000,Adventure|Family|Fantasy,2454,based on novel|fictional place|brother sister relationship|lion|human being|wretch|leap in time|matter of life and death|faith|uncle|narnia|fantasy world,53.978602,5,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,0,0.06629834254143646,194651413
16,220000000,Science Fiction|Action|Adventure,24428,new york|shield|marvel comic|superhero|based on comic book|alien invasion|superhero team|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,144.448633,4,1519557910,143.0,The Avengers,7.4,11776,0,0.1432517758484609,1299557910
17,380000000,Adventure|Action|Fantasy,1865,sea|captain|mutiny|sword|prime minister|sailing|silver|ship|duke|mermaid|pirate|soldier|battle|swashbuckler|aftercreditsstinger|3d,135.413856,5,1045713802,136.0,Pirates of the Caribbean: On Stranger Tides,6.4,4948,0,0.08287292817679558,665713802
